"accession","anon.name","GroupAt1_Ngrps298","GroupAt1.5_Ngrps209","GroupAt2_Ngrps165","GroupAt2.5_Ngrps132","GroupAt3_Ngrps104","GroupAt3.5_Ngrps74","GroupAt4_Ngrps60","GroupAt5_Ngrps49","GroupAt6_Ngrps42","GroupAt7_Ngrps37","GroupAt8_Ngrps29","GroupAt9_Ngrps16","GroupAt10_Ngrps16"
"BdTR7b","BR19H03","G279","G201","G158","G125","G099","G069","G055","G044","G037","G032","G029","G016","G016"
"BdTR11d","BR19H05","G035","G027","G018","G016","G011","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR12a","BR19H06","G080","G060","G044","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"Bdis03-17","BR19H08","G270","G196","G153","G120","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"BdTR8c","BR19H09","G292","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"Bdis31-2","BR19H10","G225","G163","G128","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis25-4","BR20A03","G196","G143","G114","G085","G074","G046","G032","G027","G023","G022","G022","G014","G014"
"Gaz-6","BR20A04","G075","G056","G040","G032","G027","G011","G011","G007","G007","G007","G007","G007","G007"
"BdTR1k","BR20A05","G061","G048","G035","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"Bdis22-10","BR20A06","G204","G148","G118","G089","G077","G048","G034","G028","G024","G023","G023","G014","G014"
"Kah-2","BR20A07","G107","G080","G061","G041","G035","G017","G017","G012","G012","G011","G011","G009","G009"
"BdTR13c","BR20A08","G019","G015","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR10f","BR20A09","G154","G116","G092","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"Arn1","BR20A10","G269","G196","G153","G120","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"ABR2","BR20A12","G177","G129","G103","G075","G065","G040","G027","G022","G018","G017","G017","G014","G014"
"BdTR11h","BR20B01","G034","G026","G017","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR2c","BR20B02","G055","G044","G032","G029","G024","G010","G010","G007","G007","G007","G007","G007","G007"
"Bar1020","BR20B03","G228","G165","G129","G097","G083","G054","G040","G034","G029","G025","G025","G014","G014"
"BdTR2o","BR20B04","G064","G049","G036","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR5f","BR20B05","G116","G089","G067","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"Bdis31-12","BR20B06","G224","G162","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis22-19","BR20B08","G214","G154","G123","G093","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"BdTR3d","BR20B12","G131","G101","G077","G052","G045","G026","G020","G015","G013","G012","G012","G010","G010"
"Adi-10","BR20C01","G076","G057","G041","G033","G028","G012","G012","G008","G008","G008","G008","G008","G008"
"BdTR5j","BR20C03","G119","G092","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR10j","BR20C05","G158","G117","G093","G065","G058","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR3h","BR20C09","G134","G104","G080","G055","G048","G029","G020","G015","G013","G012","G012","G010","G010"
"BdTR3g","BR20C10","G145","G110","G086","G060","G053","G033","G020","G015","G013","G012","G012","G010","G010"
"Bdis23-1","BR20C11","G212","G152","G121","G092","G080","G051","G037","G031","G026","G024","G024","G014","G014"
"Bd21-3","BR20D01","G172","G126","G100","G072","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BdTR9f","BR20D02","G091","G069","G053","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"Abz1021","BR20D03","G216","G156","G125","G095","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Bdis31-19","BR20D04","G220","G159","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"BdTR1d","BR20D06","G060","G047","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"Bdis22-6","BR20D07","G244","G175","G136","G104","G088","G058","G044","G038","G032","G027","G027","G014","G014"
"Bdis22-1","BR20D08","G202","G146","G116","G087","G076","G047","G033","G028","G024","G023","G023","G014","G014"
"WLE1-2","BR20D09","G283","G203","G160","G127","G101","G071","G057","G046","G039","G034","G029","G016","G016"
"Gaz-7","BR20D10","G040","G031","G019","G017","G012","G007","G007","G007","G007","G007","G007","G007","G007"
"Bdis28-1","BR20D11","G252","G181","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"BdTR10o","BR20E02","G148","G112","G088","G062","G055","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR13o","BR20E03","G017","G013","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Bdis31-14","BR20E04","G217","G157","G125","G095","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Gaz-2","BR20E05","G040","G031","G019","G017","G012","G007","G007","G007","G007","G007","G007","G007","G007"
"BdTR13f","BR20E07","G025","G020","G011","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Adi-18","BR20E10","G085","G065","G049","G036","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"BdTR9e","BR20E11","G093","G070","G054","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"ABR4","BR20F01","G226","G164","G129","G097","G083","G054","G040","G034","G029","G025","G025","G014","G014"
"Adi-14","BR20F02","G086","G065","G049","G036","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"BdTR13b","BR20F05","G025","G020","G011","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13e","BR20F06","G021","G017","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Bdis25-10","BR20F08","G243","G174","G135","G103","G087","G057","G043","G037","G032","G027","G027","G014","G014"
"BdTR3j","BR20F09","G132","G102","G078","G053","G046","G027","G020","G015","G013","G012","G012","G010","G010"
"Adi-9","BR20F10","G106","G079","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Bdis03-5","BR20F11","G256","G184","G143","G110","G092","G062","G048","G040","G033","G028","G028","G015","G015"
"Bdis25-12","BR20G01","G176","G128","G102","G074","G064","G039","G026","G021","G017","G016","G016","G014","G014"
"BdTR5k","BR20G05","G117","G090","G068","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR10n","BR20G06","G032","G025","G016","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"Bdis31-16","BR20G07","G219","G158","G126","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"BdTR8i","BR20G08","G289","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"BdTR2b","BR20G10","G045","G036","G024","G022","G017","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2k","BR20G11","G059","G047","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR5a","BR20H03","G121","G093","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR2i","BR20H04","G065","G050","G037","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1h","BR20H05","G051","G040","G028","G026","G021","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR10m","BR20H09","G155","G116","G092","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR13k","BR27B03","G029","G023","G014","G013","G008","G006","G006","G006","G006","G006","G006","G006","G006"
"BRA-417","BR27C06","G160","G119","G094","G066","G059","G034","G021","G016","G014","G013","G013","G011","G011"
"BRA-322","BR27E09","G008","G006","G004","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"BRA-419","BR28E06","G007","G005","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"BRA-416","BR28E07","G175","G127","G101","G073","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BRA-418","BR29A02","G112","G085","G063","G043","G037","G019","G019","G014","G012","G011","G011","G009","G009"
"BRA-71","BR29G04","G180","G131","G104","G076","G066","G041","G028","G023","G019","G018","G018","G014","G014"
"BRA-68","BR29G07","G180","G131","G104","G076","G066","G041","G028","G023","G019","G018","G018","G014","G014"
"BRA-65","BR29H07","G178","G130","G104","G076","G066","G041","G028","G023","G019","G018","G018","G014","G014"
"BRA-66","BR29H11","G179","G131","G104","G076","G066","G041","G028","G023","G019","G018","G018","G014","G014"
