"accession","anon.name","GroupAt1_Ngrps298","GroupAt1.5_Ngrps209","GroupAt2_Ngrps165","GroupAt2.5_Ngrps132","GroupAt3_Ngrps104","GroupAt3.5_Ngrps74","GroupAt4_Ngrps60","GroupAt5_Ngrps49","GroupAt6_Ngrps42","GroupAt7_Ngrps37","GroupAt8_Ngrps29","GroupAt9_Ngrps16","GroupAt10_Ngrps16"
"BdTR5j","BR02H03","G121","G093","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5k","BR02H04","G122","G094","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5m","BR02H05","G118","G091","G069","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5n","BR02H06","G122","G094","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5o","BR02H07","G112","G085","G063","G043","G037","G019","G019","G014","G012","G011","G011","G009","G009"
"BdTR7a","BR02H08","G280","G201","G158","G125","G099","G069","G055","G044","G037","G032","G029","G016","G016"
"BdTR8a","BR02H10","G293","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"BdTR8c","BR02H11","G291","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"BdTR8i","BR03A01","G287","G206","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"BdTR8n","BR03A03","G290","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"BdTR9a","BR03A04","G096","G072","G056","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9b","BR03A05","G094","G071","G055","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9e","BR03A07","G104","G078","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"BdTR9f","BR03A08","G098","G073","G057","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9h","BR03A09","G098","G073","G057","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9i","BR03A10","G093","G070","G054","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9j","BR03A11","G093","G070","G054","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR9k","BR03A12","G090","G068","G052","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR10a","BR03B02","G147","G111","G087","G061","G054","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10b","BR03B03","G151","G114","G090","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10c","BR03B04","G147","G111","G087","G061","G054","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10d","BR03B05","G154","G116","G092","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10e","BR03B06","G151","G114","G090","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10f","BR03B07","G153","G115","G091","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10g","BR03B08","G152","G115","G091","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10h","BR03B09","G161","G119","G094","G066","G059","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10i","BR03B10","G101","G075","G058","G039","G033","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR10j","BR03B11","G156","G116","G092","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR10k","BR03B12","G082","G062","G046","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR10m","BR03C01","G186","G135","G108","G079","G068","G043","G029","G024","G020","G019","G019","G014","G014"
"BdTR10n","BR03C02","G033","G025","G016","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR10o","BR03C03","G150","G114","G090","G064","G057","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR11a","BR03C04","G029","G023","G014","G013","G008","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11b","BR03C05","G038","G029","G018","G016","G011","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11c","BR03C06","G254","G182","G141","G108","G090","G060","G046","G040","G033","G028","G028","G015","G015"
"BdTR11d","BR03C07","G037","G029","G018","G016","G011","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11e","BR03C08","G036","G028","G018","G016","G011","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11f","BR03C09","G029","G023","G014","G013","G008","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11g","BR03C10","G034","G026","G017","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR11h","BR03C11","G182","G132","G105","G077","G066","G041","G028","G023","G019","G018","G018","G014","G014"
"BdTR11i","BR03C12","G037","G029","G018","G016","G011","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR12a","BR03D01","G193","G141","G112","G083","G072","G044","G030","G025","G021","G020","G020","G014","G014"
"BdTR12b","BR03D02","G079","G059","G043","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR12c","BR03D03","G081","G061","G045","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR13b","BR03D05","G024","G019","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13c","BR03D06","G019","G015","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13d","BR03D07","G016","G012","G009","G009","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13e","BR03D08","G017","G013","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13f","BR03D09","G020","G016","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13g","BR03D10","G164","G121","G096","G068","G061","G036","G023","G018","G016","G015","G015","G013","G013"
"BdTR13h","BR03D11","G018","G014","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13i","BR03D12","G015","G012","G009","G009","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13j","BR03E01","G005","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"BdTR13k","BR03E02","G023","G018","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR13n","BR03E04","G023","G018","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Bis-1","BR03E06","G022","G018","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Cas2003","BR03E07","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001"
"Gaz-2","BR03E08","G040","G031","G019","G017","G012","G007","G007","G007","G007","G007","G007","G007","G007"
"Gaz-5","BR03E11","G041","G032","G020","G018","G013","G008","G008","G007","G007","G007","G007","G007","G007"
"Gaz-7","BR03E12","G007","G005","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"Gaz-8","BR03F01","G174","G126","G100","G072","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"Gaz-9","BR03F02","G047","G036","G024","G022","G017","G010","G010","G007","G007","G007","G007","G007","G007"
"Kah-1","BR03F03","G103","G077","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Kah-2","BR03F04","G031","G024","G015","G014","G009","G006","G006","G006","G006","G006","G006","G006","G006"
"Kah-3","BR03F05","G111","G084","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"Kah-4","BR03F06","G105","G079","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Kah-5","BR03F07","G077","G057","G041","G033","G028","G012","G012","G008","G008","G008","G008","G008","G008"
"Kah-6","BR03F08","G184","G134","G107","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Koz-3","BR03F10","G084","G064","G048","G035","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"Koz-4","BR03F11","G141","G107","G083","G058","G051","G032","G020","G015","G013","G012","G012","G010","G010"
"Mon2","BR03G01","G275","G198","G155","G122","G096","G066","G052","G041","G034","G029","G029","G016","G016"
"Mur2-31","BR03G02","G183","G133","G106","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Pal2032","BR03G03","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"Tek-1","BR03G04","G281","G202","G159","G126","G100","G070","G056","G045","G038","G033","G029","G016","G016"
"Tek-2","BR03G05","G293","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"Tek-3","BR03G06","G276","G199","G156","G123","G097","G067","G053","G042","G035","G030","G029","G016","G016"
"Tek-4","BR03G07","G002","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001"
"Tek-5","BR03G08","G281","G202","G159","G126","G100","G070","G056","G045","G038","G033","G029","G016","G016"
"Tek-6","BR03G09","G294","G208","G164","G131","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"Tek-8","BR03G11","G277","G199","G156","G123","G097","G067","G053","G042","G035","G030","G029","G016","G016"
"Tek-10","BR03G12","G284","G204","G161","G128","G101","G071","G057","G046","G039","G034","G029","G016","G016"
"Tek-12","BR03H02","G296","G208","G164","G131","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"BdTR8f","BR03H11","G288","G207","G163","G130","G103","G073","G059","G048","G041","G036","G029","G016","G016"
"ABR5","BR04A02","G187","G136","G109","G080","G069","G044","G030","G025","G021","G020","G020","G014","G014"
"Arn1","BR04A03","G264","G191","G148","G115","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"BdTR9g","BR04A04","G095","G072","G056","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"Cas2","BR04A05","G266","G193","G150","G117","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Gal1","BR04A06","G231","G166","G130","G098","G084","G055","G041","G035","G030","G025","G025","G014","G014"
"Gaz-1","BR04A07","G074","G056","G040","G032","G027","G011","G011","G007","G007","G007","G007","G007","G007"
"Gaz-6","BR04A08","G075","G056","G040","G032","G027","G011","G011","G007","G007","G007","G007","G007","G007"
"Kah-4","BR04A09","G103","G077","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Koz-1","BR04A10","G128","G098","G074","G049","G042","G023","G020","G015","G013","G012","G012","G010","G010"
"Mig3","BR04A12","G195","G142","G113","G084","G073","G045","G031","G026","G022","G021","G021","G014","G014"
"Mon3","BR04B01","G257","G185","G144","G111","G093","G063","G049","G040","G033","G028","G028","G015","G015"
"Tek-9","BR04B02","G281","G202","G159","G126","G100","G070","G056","G045","G038","G033","G029","G016","G016"
"Uni2","BR04B03","G230","G166","G130","G098","G084","G055","G041","G035","G030","G025","G025","G014","G014"
"Bdis03-1","BR04B04","G272","G197","G154","G121","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-2","BR04B05","G274","G197","G154","G121","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-3","BR04B06","G270","G196","G153","G120","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-4","BR04B07","G267","G194","G151","G118","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-6","BR04B09","G235","G169","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis03-7","BR04B10","G271","G197","G154","G121","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-8","BR04B11","G266","G193","G150","G117","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-9","BR04B12","G262","G189","G146","G113","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis03-10","BR04C01","G268","G195","G152","G119","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis05-1","BR04C02","G190","G139","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Bdis05-2","BR04C03","G260","G188","G145","G112","G094","G064","G050","G040","G033","G028","G028","G015","G015"
"Bdis05-3","BR04C04","G256","G184","G143","G110","G092","G062","G048","G040","G033","G028","G028","G015","G015"
"Bdis05-5","BR04C06","G261","G188","G145","G112","G094","G064","G050","G040","G033","G028","G028","G015","G015"
"Bdis05-6","BR04C07","G261","G188","G145","G112","G094","G064","G050","G040","G033","G028","G028","G015","G015"
"Bdis05-7","BR04C08","G240","G172","G134","G102","G086","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis05-8","BR04C09","G192","G140","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Bdis05-9","BR04C10","G191","G140","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Bdis05-10","BR04C11","G240","G172","G134","G102","G086","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis22-1","BR04C12","G202","G146","G116","G087","G076","G047","G033","G028","G024","G023","G023","G014","G014"
"Bdis22-2","BR04D01","G202","G146","G116","G087","G076","G047","G033","G028","G024","G023","G023","G014","G014"
"Bdis22-3","BR04D02","G245","G175","G136","G104","G088","G058","G044","G038","G032","G027","G027","G014","G014"
"Bdis22-4","BR04D03","G215","G155","G124","G094","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Bdis22-5","BR04D04","G203","G147","G117","G088","G077","G048","G034","G028","G024","G023","G023","G014","G014"
"Bdis22-6","BR04D05","G246","G175","G136","G104","G088","G058","G044","G038","G032","G027","G027","G014","G014"
"Bdis22-8","BR04D07","G203","G147","G117","G088","G077","G048","G034","G028","G024","G023","G023","G014","G014"
"Bdis22-9","BR04D08","G203","G147","G117","G088","G077","G048","G034","G028","G024","G023","G023","G014","G014"
"Bdis22-10","BR04D09","G204","G148","G118","G089","G077","G048","G034","G028","G024","G023","G023","G014","G014"
"Bdis23-1","BR04D10","G212","G152","G121","G092","G080","G051","G037","G031","G026","G024","G024","G014","G014"
"Bdis23-2","BR04D11","G205","G149","G119","G090","G078","G049","G035","G029","G025","G024","G024","G014","G014"
"Bdis23-3","BR04D12","G207","G150","G119","G090","G078","G049","G035","G029","G025","G024","G024","G014","G014"
"Bdis23-4","BR04E01","G212","G152","G121","G092","G080","G051","G037","G031","G026","G024","G024","G014","G014"
"Bdis23-6","BR04E03","G211","G151","G120","G091","G079","G050","G036","G030","G026","G024","G024","G014","G014"
"Bdis23-7","BR04E04","G212","G152","G121","G092","G080","G051","G037","G031","G026","G024","G024","G014","G014"
"Bdis23-9","BR04E06","G205","G149","G119","G090","G078","G049","G035","G029","G025","G024","G024","G014","G014"
"Bdis25-1","BR04E08","G199","G144","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-2","BR04E09","G241","G173","G135","G103","G087","G057","G043","G037","G032","G027","G027","G014","G014"
"Bdis25-3","BR04E10","G200","G145","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-4","BR04E11","G197","G143","G114","G085","G074","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-5","BR04E12","G201","G145","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-6","BR04F01","G199","G144","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-7","BR04F02","G197","G143","G114","G085","G074","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-8","BR04F03","G201","G145","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Bdis25-9","BR04F04","G242","G174","G135","G103","G087","G057","G043","G037","G032","G027","G027","G014","G014"
"Bdis25-10","BR04F05","G243","G174","G135","G103","G087","G057","G043","G037","G032","G027","G027","G014","G014"
"Bdis28-1","BR04F06","G252","G181","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-2","BR04F07","G248","G177","G138","G106","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-3","BR04F08","G251","G180","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-4","BR04F09","G253","G181","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-5","BR04F10","G250","G179","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-6","BR04F11","G251","G180","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-7","BR04F12","G247","G176","G137","G105","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-9","BR04G02","G253","G181","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis28-10","BR04G03","G251","G180","G140","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Bdis31-1","BR04G04","G218","G157","G125","G095","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Bdis31-2","BR04G05","G221","G160","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-3","BR04G06","G225","G163","G128","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-4","BR04G07","G223","G161","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-5","BR04G08","G224","G162","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-6","BR04G09","G219","G158","G126","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-8","BR04G11","G222","G161","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis31-9","BR04G12","G217","G157","G125","G095","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Bdis32-2","BR04H03","G237","G171","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-3","BR04H04","G238","G171","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-4","BR04H05","G232","G167","G131","G099","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-6","BR04H07","G234","G168","G132","G100","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-7","BR04H08","G236","G170","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-9","BR04H10","G238","G171","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis32-10","BR04H11","G237","G171","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"CFWA-1","BR06A01","G283","G203","G160","G127","G101","G071","G057","G046","G039","G034","G029","G016","G016"
"CFW-3","BR06E09","G298","G209","G165","G132","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"BdTR12c","BR10D08","G083","G063","G047","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR12c","BR10D12","G082","G062","G046","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"Bd21","BR10H11","G174","G126","G100","G072","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"Ald3-1","BR11A03","G231","G166","G130","G098","G084","G055","G041","G035","G030","G025","G025","G014","G014"
"Ald3-2","BR11B03","G236","G170","G133","G101","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Ald3-5","BR11E03","G247","G176","G137","G105","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"Ald3-6","BR11F03","G184","G134","G107","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Fls1-6","BR11F12","G286","G205","G162","G129","G102","G072","G058","G047","G040","G035","G029","G016","G016"
"Ald3-8","BR11H03","G233","G168","G132","G100","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Lph1-8","BR12H07","G185","G134","G107","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Bd3-1","BR15A10","G171","G125","G099","G071","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"Bd21","BR15B12","G175","G127","G101","G073","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"Bdis25-11","BR18A01","G241","G173","G135","G103","G087","G057","G043","G037","G032","G027","G027","G014","G014"
"BdTR5o","BR18A02","G147","G111","G087","G061","G054","G034","G021","G016","G014","G013","G013","G011","G011"
"ABR7","BR18A03","G175","G127","G101","G073","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BdTR12c","BR18A04","G077","G057","G041","G033","G028","G012","G012","G008","G008","G008","G008","G008","G008"
"BdTR13k","BR18A06","G016","G012","G009","G009","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Kah-4","BR18A07","G079","G059","G043","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"Bdis31-11","BR18A08","G215","G155","G124","G094","G081","G052","G038","G032","G027","G025","G025","G014","G014"
"Cas2003","BR18A10","G265","G192","G149","G116","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"BdTR7a","BR18A11","G280","G201","G158","G125","G099","G069","G055","G044","G037","G032","G029","G016","G016"
"WLE1-2","BR18A12","G282","G203","G160","G127","G101","G071","G057","G046","G039","G034","G029","G016","G016"
"Tek-12","BR18B01","G296","G208","G164","G131","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"Arn1018","BR18B02","G186","G135","G108","G079","G068","G043","G029","G024","G020","G019","G019","G014","G014"
"BdTR9b","BR18B03","G101","G075","G058","G039","G033","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR2m","BR18B04","G111","G084","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"BdTR13a","BR18B05","G011","G008","G006","G006","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"BdTR3b","BR18B06","G041","G032","G020","G018","G013","G008","G008","G007","G007","G007","G007","G007","G007"
"Bdis05-15","BR18B07","G193","G141","G112","G083","G072","G044","G030","G025","G021","G020","G020","G014","G014"
"BdTR1e","BR18B08","G073","G055","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2s","BR18B09","G050","G039","G027","G025","G020","G010","G010","G007","G007","G007","G007","G007","G007"
"Tek-4","BR18B10","G294","G208","G164","G131","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"Bdis05-17","BR18B12","G192","G140","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Adi-6","BR18C01","G102","G076","G059","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Adi-15","BR18C02","G026","G021","G012","G011","G006","G006","G006","G006","G006","G006","G006","G006","G006"
"Bdis23-1","BR18C04","G182","G132","G105","G077","G066","G041","G028","G023","G019","G018","G018","G014","G014"
"BdTR9i","BR18C06","G109","G082","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"Bdis23-5","BR18C07","G209","G151","G120","G091","G079","G050","G036","G030","G026","G024","G024","G014","G014"
"Koz-2","BR18C09","G127","G097","G073","G048","G041","G022","G020","G015","G013","G012","G012","G010","G010"
"Bdis05-9","BR18C11","G190","G139","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Bd3-2","BR18D01","G171","G125","G099","G071","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BdTR5h","BR18D02","G113","G086","G064","G044","G038","G020","G019","G014","G012","G011","G011","G009","G009"
"Bd21","BR18D04","G166","G122","G097","G069","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Bd21","BR18D05","G168","G124","G098","G070","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Bd21","BR18D07","G164","G121","G096","G068","G061","G036","G023","G018","G016","G015","G015","G013","G013"
"BdTR1a","BR18D08","G125","G096","G072","G047","G040","G021","G020","G015","G013","G012","G012","G010","G010"
"BdTR9j","BR18D12","G102","G076","G059","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Bdis05-18","BR18E01","G189","G138","G111","G082","G071","G044","G030","G025","G021","G020","G020","G014","G014"
"Bdis05-19","BR18E03","G194","G141","G112","G083","G072","G044","G030","G025","G021","G020","G020","G014","G014"
"Bdis31-18","BR18E04","G005","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"Bdis25-1","BR18E06","G198","G144","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"Cas2","BR18E07","G273","G197","G154","G121","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Gaz-3","BR18E08","G183","G133","G106","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Adi-17","BR18E10","G044","G035","G023","G021","G016","G010","G010","G007","G007","G007","G007","G007","G007"
"Bd21","BR18F01","G167","G123","G098","G070","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Adi-3","BR18F02","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001"
"BdTR5n","BR18F03","G104","G078","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"BdTR3n","BR18F04","G129","G099","G075","G050","G043","G024","G020","G015","G013","G012","G012","G010","G010"
"BdTR1g","BR18F05","G047","G036","G024","G022","G017","G010","G010","G007","G007","G007","G007","G007","G007"
"Gaz-8","BR18F06","G232","G167","G131","G099","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"Bdis03-11","BR18F07","G254","G182","G141","G108","G090","G060","G046","G040","G033","G028","G028","G015","G015"
"BdTR2n","BR18F09","G056","G044","G032","G029","G024","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR9a","BR18F10","G112","G085","G063","G043","G037","G019","G019","G014","G012","G011","G011","G009","G009"
"Bdis22-11","BR18F11","G195","G142","G113","G084","G073","G045","G031","G026","G022","G021","G021","G014","G014"
"Bdis23-1","BR18F12","G213","G153","G122","G092","G080","G051","G037","G031","G026","G024","G024","G014","G014"
"ABR5","BR18G01","G110","G083","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"Adi-8","BR18G03","G108","G081","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"BdTR3c","BR18G04","G099","G074","G058","G039","G033","G015","G015","G010","G010","G010","G010","G008","G008"
"Bdis03-6","BR18G05","G234","G168","G132","G100","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"BdTR9g","BR18G07","G096","G072","G056","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR11c","BR18G09","G034","G026","G017","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"BdTR13m","BR18G11","G277","G199","G156","G123","G097","G067","G053","G042","G035","G030","G029","G016","G016"
"Bdis31-13","BR18G12","G223","G161","G127","G096","G082","G053","G039","G033","G028","G025","G025","G014","G014"
"Bdis03-19","BR18H02","G267","G194","G151","G118","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"BdTR13j","BR18H05","G024","G019","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"UKR-99-137","BR18H06","G298","G209","G165","G132","G104","G074","G060","G049","G042","G037","G029","G016","G016"
"Kah-3","BR18H07","G084","G064","G048","G035","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"Adi-11","BR18H09","G094","G071","G055","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"BdTR11g","BR18H10","G033","G025","G016","G015","G010","G006","G006","G006","G006","G006","G006","G006","G006"
"Bd18-1","BR18H11","G163","G120","G095","G067","G060","G035","G022","G017","G015","G014","G014","G012","G012"
"BdTR2r","BR19A02","G071","G054","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"Tek-6","BR19A03","G285","G205","G162","G129","G102","G072","G058","G047","G040","G035","G029","G016","G016"
"BdTR3m","BR19A04","G137","G106","G082","G057","G050","G031","G020","G015","G013","G012","G012","G010","G010"
"BdTR5m","BR19A05","G123","G095","G071","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"Bdis03-16","BR19A06","G274","G197","G154","G121","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"Bdis28-7","BR19A07","G249","G178","G139","G107","G089","G059","G045","G039","G032","G027","G027","G014","G014"
"BdTR10h","BR19A08","G157","G117","G093","G065","G058","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR2d","BR19A09","G069","G052","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR10a","BR19A10","G149","G113","G089","G063","G056","G034","G021","G016","G014","G013","G013","G011","G011"
