"","sample","species.id","accession","well.name","species.jared","species.readnum"
"135","BR32C01","distachyon","G1-F-1","G1-F-1_R1","hybridum","distachyon"
"136","BR32C03","distachyon","G1-B-2","G1-B-2_R4","hybridum","distachyon"
"137","BR32C08","distachyon","G1-F-1","G1-F-1_R4","hybridum","distachyon"
"138","BR32D06","hybridum","G1-D-X-2","G1-D-X-2_R3","distachyon","hybridum"
"139","BR32D10","hybridum","B-A-2","B-A-2_R3","distachyon","hybridum"
"140","BR32E02","distachyon","Bd2-7","BD2-7","hybridum","distachyon"
"141","BR32E09","distachyon","CABVZ3-2","CABVZ3-2","hybridum","distachyon"
"142","BR32F04","distachyon","Bd19-16","BD19-16","hybridum","distachyon"
"143","BR32F06","hybridum","RON2","RON2_R1","distachyon","hybridum"
"144","BR32F10","distachyon","G2-E-1","G2-E-1_R3","hybridum","distachyon"
"145","BR32F11","hybridum","51SPA-Nor-s6E-c3","51SPA-Nor-s6E-c3_R4","distachyon","hybridum"
"146","BR32F12","distachyon","A-E-1","A-E-1_R3","hybridum","distachyon"
